"","ASSAULT","BATTERY","HOMICIDE","ROBBERY"
"2002-06-18",99,319,4,48
"2002-06-19",94,300,0,45
"2002-06-20",102,301,3,35
"2002-06-21",97,344,2,55
"2002-06-22",98,361,3,52
"2002-06-23",111,411,3,48
"2002-06-24",106,285,3,56
"2002-06-25",111,324,1,64
"2002-06-26",108,305,0,51
"2002-06-27",84,304,1,51
"2002-06-28",99,285,1,61
"2002-06-29",105,338,4,70
"2002-06-30",119,378,4,44
"2002-07-01",98,317,4,54
"2002-07-02",105,329,2,56
"2002-07-03",103,273,2,59
"2002-07-04",100,409,5,44
"2002-07-05",115,352,1,44
"2002-07-06",97,354,3,60
"2002-07-07",104,390,1,62
"2002-07-08",93,275,3,69
"2002-07-09",92,270,3,52
"2002-07-10",80,255,4,54
"2002-07-11",93,261,2,54
"2002-07-12",90,301,1,49
"2002-07-13",96,350,3,64
"2002-07-14",99,341,4,67
"2002-07-15",99,269,4,59
"2002-07-16",102,291,2,64
"2002-07-17",119,290,0,61
"2002-07-18",104,335,0,67
"2002-07-19",97,324,1,72
"2002-07-20",97,393,0,62
"2002-07-21",74,388,5,63
"2002-07-22",104,304,2,42
"2002-07-23",108,307,2,53
"2002-07-24",111,285,0,55
"2002-07-25",95,254,2,58
"2002-07-26",106,302,3,58
"2002-07-27",102,341,4,71
"2002-07-28",104,348,1,71
"2002-07-29",100,293,0,65
"2002-07-30",116,306,2,53
"2002-07-31",120,298,2,42
"2002-08-01",97,298,4,82
"2002-08-02",84,254,4,70
"2002-08-03",79,355,2,68
"2002-08-04",99,354,5,69
"2002-08-05",114,269,2,56
"2002-08-06",90,269,1,46
"2002-08-07",94,230,5,49
"2002-08-08",82,231,2,58
"2002-08-09",93,265,3,58
"2002-08-10",108,338,2,70
"2002-08-11",107,376,4,74
"2002-08-12",95,288,3,76
"2002-08-13",107,237,2,48
"2002-08-14",80,227,1,71
"2002-08-15",77,269,5,46
"2002-08-16",86,259,3,67
"2002-08-17",101,321,2,70
"2002-08-18",93,345,1,63
"2002-08-19",94,228,0,50
"2002-08-20",90,232,1,74
"2002-08-21",87,257,1,70
"2002-08-22",101,218,2,68
"2002-08-23",73,265,0,69
"2002-08-24",101,303,3,61
"2002-08-25",90,308,1,58
"2002-08-26",95,233,0,66
"2002-08-27",92,263,2,59
"2002-08-28",93,266,5,43
"2002-08-29",97,209,0,54
"2002-08-30",100,266,4,73
"2002-08-31",94,307,7,55
"2002-09-01",78,345,5,54
"2002-09-02",124,326,4,47
"2002-09-03",94,254,1,65
"2002-09-04",107,247,1,57
"2002-09-05",91,233,0,43
"2002-09-06",110,330,1,50
"2002-09-07",93,343,5,72
"2002-09-08",94,332,2,56
"2002-09-09",123,267,2,53
"2002-09-10",85,239,2,59
"2002-09-11",101,240,6,51
"2002-09-12",102,262,1,54
"2002-09-13",112,332,1,46
"2002-09-14",102,340,2,57
"2002-09-15",92,322,4,64
"2002-09-16",104,263,0,44
"2002-09-17",111,275,2,52
"2002-09-18",98,266,2,59
"2002-09-19",102,276,2,65
"2002-09-20",112,291,2,59
"2002-09-21",87,312,3,65
"2002-09-22",92,286,3,67
"2002-09-23",91,237,2,51
"2002-09-24",85,230,1,57
"2002-09-25",107,267,3,63
"2002-09-26",97,259,0,67
"2002-09-27",95,275,2,55
"2002-09-28",82,308,1,77
"2002-09-29",104,367,6,55
"2002-09-30",130,320,1,55
"2002-10-01",125,326,2,63
"2002-10-02",113,288,1,62
"2002-10-03",109,284,2,65
"2002-10-04",96,275,1,69
"2002-10-05",100,282,0,62
"2002-10-06",78,284,3,69
"2002-10-07",90,217,3,40
"2002-10-08",104,256,2,54
"2002-10-09",96,228,3,66
"2002-10-10",78,261,2,49
"2002-10-11",105,304,2,61
"2002-10-12",87,253,3,78
"2002-10-13",76,256,1,56
"2002-10-14",82,221,0,55
"2002-10-15",79,250,2,53
"2002-10-16",76,259,0,52
"2002-10-17",75,206,1,52
"2002-10-18",77,268,1,47
"2002-10-19",82,270,2,64
"2002-10-20",79,310,3,52
"2002-10-21",78,234,1,49
"2002-10-22",95,221,3,39
"2002-10-23",92,250,0,66
"2002-10-24",80,212,0,54
"2002-10-25",89,234,1,72
"2002-10-26",75,265,7,62
"2002-10-27",80,295,3,56
